Trailer_num, Trailer_type, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
OT5, Outbound trailer, Demand, 0, 0, 0, 0, 20
OT6, Outbound trailer, Demand, 0, 16, 14, 7, 0
OT7, Outbound trailer, Demand, 6, 0, 21, 20, 0
OT8, Outbound trailer, Demand, 12, 0, 7, 0, 35
OT9, Outbound trailer, Demand, 20, 18, 0, 0, 0
OT10, Outbound trailer, Demand, 0, 25, 0, 9, 0
OT11, Outbound trailer, Demand, 18, 19, 12, 0, 11
OT12, Outbound trailer, Demand, 15, 0, 0, 19, 0
OT13, Outbound trailer, Demand, 0, 0, 9, 18, 0
OT14, Outbound trailer, Demand, 0, 13, 9, 19, 0
OT15, Outbound trailer, Demand, 18, 16, 9, 0, 33
OT16, Outbound trailer, Demand, 19, 9, 0, 0, 14
OT17, Outbound trailer, Demand, 18, 27, 9, 0, 0
OT18, Outbound trailer, Demand, 0, 0, 19, 8, 0
OT19, Outbound trailer, Demand, 19, 13, 7, 8, 11
OT20, Outbound trailer, Demand, 19, 0, 0, 0, 18
OT21, Outbound trailer, Demand, 9, 0, 21, 0, 29
OT22, Outbound trailer, Demand, 8, 0, 0, 9, 20
OT23, Outbound trailer, Demand, 7, 22, 18, 0, 35
OT24, Outbound trailer, Demand, 0, 12, 9, 0, 0
OT25, Outbound trailer, Demand, 0, 0, 0, 0, 13
OT26, Outbound trailer, Demand, 0, 0, 14, 14, 13
OT27, Outbound trailer, Demand, 17, 0, 14, 20, 24
OT28, Outbound trailer, Demand, 16, 0, 0, 0, 20
OT29, Outbound trailer, Demand, 0, 24, 11, 10, 0
OT30, Outbound trailer, Demand, 0, 19, 0, 15, 0
OT31, Outbound trailer, Demand, 31, 0, 9, 9, 27
OT32, Outbound trailer, Demand, 13, 0, 0, 10, 0
OT33, Outbound trailer, Demand, 0, 13, 0, 0, 24
OT34, Outbound trailer, Demand, 0, 9, 13, 0, 0
OT35, Outbound trailer, Demand, 16, 0, 0, 0, 0
OT36, Outbound trailer, Demand, 0, 0, 19, 0, 31
OT37, Outbound trailer, Demand, 14, 25, 0, 0, 0
OT38, Outbound trailer, Demand, 0, 0, 0, 21, 18
OT39, Outbound trailer, Demand, 19, 0, 0, 14, 29
OT40, Outbound trailer, Demand, 6, 0, 15, 21, 0
OT41, Outbound trailer, Demand, 0, 0, 21, 21, 18
OT42, Outbound trailer, Demand, 16, 0, 13, 15, 0
OT43, Outbound trailer, Demand, 19, 0, 15, 19, 0
OT44, Outbound trailer, Demand, 0, 12, 0, 0, 26
OT45, Outbound trailer, Demand, 18, 0, 0, 0, 0
OT46, Outbound trailer, Demand, 5, 22, 10, 17, 0
OT47, Outbound trailer, Demand, 13, 0, 21, 0, 0
OT48, Outbound trailer, Demand, 0, 45, 0, 0, 0
OT49, Outbound trailer, Demand, 0, 19, 15, 0, 18
OT50, Outbound trailer, Demand, 0, 0, 28, 18, 0
OT51, Outbound trailer, Demand, 0, 22, 0, 0, 20
OT52, Outbound trailer, Demand, 0, 0, 12, 6, 0
OT53, Outbound trailer, Demand, 0, 0, 0, 10, 0
OT54, Outbound trailer, Demand, 0, 0, 19, 0, 0
OT55, Outbound trailer, Demand, 0, 0, 10, 36, 0
OT56, Outbound trailer, Demand, 0, 0, 0, 20, 0
OT57, Outbound trailer, Demand, 19, 21, 14, 6, 0
OT58, Outbound trailer, Demand, 0, 21, 0, 21, 28
OT59, Outbound trailer, Demand, 0, 0, 0, 0, 26
OT60, Outbound trailer, Demand, 0, 16, 6, 0, 0
